Z (-),u (m/s),V (1/s),T (K)
0.33383877104981036,-0.05817057936840171,43.82014633724727,1264.2562233831507
0.3289902539202986,-0.0604839593004259,43.8838536053511,1273.1607739987228
0.3241921750792823,-0.06281280402172609,43.94436011888612,1282.049671109714
0.31944458124015424,-0.06515693538444389,44.00169618276542,1290.925092509302
0.3147475092885911,-0.06751619591834064,44.05589222363566,1299.789470712361
0.31010098722838686,-0.06989045029528484,44.10697876623992,1308.6455006636183
0.3055050350844105,-0.07227958678909115,44.15498641189423,1317.4961469544487
0.3009596657581938,-0.07468351872100956,44.199945819023704,1326.3446504546353
0.29646488583129493,-0.07710218587901889,44.241887685702295,1335.1945342391189
0.29202069631055416,-0.07953555589550802,44.280842734137984,1344.049608641833
0.2876270933069031,-0.08198362556042503,44.31684169704392,1352.9139751588975
